"","fromdate","Volume","MiddleNight","EarlyMorning","LateMorning","EarlyAfternoon","RushHour","OffPeak2","Night","OffPeak1","Business","OffPeak","Morning","HighNoon","Afternoon","Evening","SunPeak","BasePrice","BaseVolume","AL_MW","GR_MW","DayaheadPrice._EUR_MWh","Dayahead_Load.Forecast","ActualTotalLoad","diffloadforecast"
"1",2015-01-06,10382.85,40.32,41.49,50.36,43.68,49.4,45.75,45.16,47.81,38.98,40.9,47.02,42.52,48.43,48.55,43.43,45.16,249188.4,250,250,45.1633333333333,74152.0833333333,74949.2083333333,-797
"2",2015-01-07,10220.125,36.56,38.83,51.66,50.12,49.86,45.16,45.37,50.55,35.11,37.69,50.89,40.18,49.09,50.71,49.27,45.37,245283,250,250,45.3658333333333,74291.6666666667,73720.2916666667,571
"3",2015-01-08,12288.7208333333,36.39,36.76,48.86,44.35,47.65,44.08,43.01,46.95,33.69,36.58,46.6,39.08,46.83,48.57,42.7,43.01,294929.3,250,250,43.0141666666667,71147.9166666667,70658,489
"4",2015-01-09,15882.925,28.51,28.34,43.88,36.5,36.37,27.76,33.56,38.92,25.26,28.43,40.19,28.2,41.82,41.09,32.82,33.56,381190.2,250,250,33.5591666666667,66572.9166666667,66729.375,-156
"5",2015-01-10,10143.7375,14.93,11.49,18.37,16.56,21.25,24.2,17.8,18.73,13.01,13.21,17.46,16.87,15.66,19.28,15.09,17.8,243449.7,250,250,17.7983333333333,57158.3333333333,56634.5833333333,523
"6",2015-01-11,10204.1625,24.79,16.36,26.68,24.57,30.45,33.27,26.02,27.23,21.44,20.57,25.62,24.81,20.77,30.43,20.1,26.02,244899.9,250,250,26.0175,56114.5833333333,56595.875,-481
"7",2015-01-12,11393.3,24.5,28.62,46.16,38.18,42.79,37.39,36.27,42.37,22.17,26.56,42.17,30.17,43.44,43.6,35.88,36.27,273439.2,250,250,36.2733333333333,66727.0833333333,67407.2083333333,-680
"8",2015-01-13,13146.6875,25.83,28.07,48.43,39.74,43.19,35.29,36.76,43.79,22.81,26.95,44.09,29.73,44.35,46.12,36.67,36.76,315520.5,250,250,36.7583333333333,67752.0833333333,67338.125,413
"9",2015-01-14,11533.8333333333,28.26,29.32,46.62,41.82,48,40.52,39.09,45.48,24.59,28.79,44.22,32.7,44.68,44.21,42.77,39.09,276812,250,250,39.0891666666667,68229.1666666667,67337.625,891
"10",2015-01-15,13941.85,23.72,28.11,47.27,40.53,44.32,37.16,36.85,44.04,21.06,25.92,43.9,29.66,44.39,45.22,37.77,36.85,334604.4,250,250,36.8504166666667,66716.6666666667,67434.5833333333,-717
