"","fromdate","IntradayPrice","PRCP","TMAX","TMIN","TVAR","TAVG","TDIFF","Significant","TPRED","Weekend","holiday","Dayahead_Load.Forecast","DayaheadPrice._EUR_MWh","DirSunHours","PriceDIFF","Target","tempC","tempF","windspeedMiles","windspeedKmph","winddirdegree","weatherCode","precipMM","humidity","visibilityKm","pressureMB","cloudcover","HeatIndexC","HeatIndexF","DewPointC","DewPointF","WindChillC","WindChillF","WindGustMiles","WindGustKmph","FeelsLikeC","FeelsLikeF","lag_24_intraday","lag_36_intraday","lag_48_intraday","lag_60_intraday","lag_72_intraday","lag_84_intraday","lag_96_intraday","lag_24_dayahead","lag_36_dayahead","lag_48_dayahead","lag_60_dayahead","lag_72_dayahead","lag_84_dayahead","lag_96_dayahead","lag_24_PriceDIFF","lag_36_PriceDIFF","lag_48_PriceDIFF","lag_60_PriceDIFF","lag_72_PriceDIFF","lag_84_PriceDIFF","lag_96_PriceDIFF"
"1",2015-01-10,22.70875,0.07,13.33,10,3.33,12.22,1.66,0,11.295,1,0,57158.3333333333,17.7983333333333,2.1,4.91041666666667,0,11.4166666666667,52.5833333333333,14.6666666666667,23.9583333333333,251.041666666667,193,0.0125,89.25,6.375,1022.125,82.5416666666667,11.5416666666667,52.75,9.79166666666667,49.6666666666667,9.04166666666667,48.25,23.6666666666667,38.0833333333333,9.04166666666667,48.25,36.0145833333333,40.8091666666667,40.3954166666667,40.9116666666667,51.5466666666667,51.1579166666667,43.6133333333333,33.5591666666667,39.4666666666667,43.0141666666667,44.5258333333333,45.3658333333333,44.3120833333333,45.1633333333333,-2.45541666666667,-1.3425,2.61875,3.61416666666667,-6.18083333333333,-6.84583333333333,1.55
"2",2015-01-11,23.81,0,8.89,3.89,5,6.11,-6.11,1,5.46333333333333,1,0,56114.5833333333,26.0175,2.1,-2.2075,0,5.33333333333333,41.5833333333333,12.1666666666667,19.5416666666667,259.208333333333,117,0,82.125,10,1027.33333333333,49.9583333333333,5.375,41.7916666666667,2.625,36.6666666666667,1.66666666666667,35.0416666666667,20.3333333333333,32.7916666666667,1.66666666666667,35.0416666666667,22.70875,26.92,36.0145833333333,40.8091666666667,40.3954166666667,40.9116666666667,51.5466666666667,17.7983333333333,24.23625,33.5591666666667,39.4666666666667,43.0141666666667,44.5258333333333,45.3658333333333,-4.91041666666667,-2.68375,-2.45541666666667,-1.3425,2.61875,3.61416666666667,-6.18083333333333
"3",2015-01-12,37.4525,0,9.44,4.44,5,7.22,1.11,0,6.2,0,0,66727.0833333333,36.2733333333333,2.1,1.17916666666667,0,5.58333333333333,42,15.5,25.0416666666667,202.875,118.5,0,87.25,10,1022.91666666667,65.0416666666667,5.625,42,3.66666666666667,38.5,1.25,34.375,25.625,41.1666666666667,1.25,34.375,23.81,23.1270833333333,22.70875,26.92,36.0145833333333,40.8091666666667,40.3954166666667,26.0175,21.6383333333333,17.7983333333333,24.23625,33.5591666666667,39.4666666666667,43.0141666666667,2.2075,-1.48875,-4.91041666666667,-2.68375,-2.45541666666667,-1.3425,2.61875
"4",2015-01-13,38.9675,0.07,10,6.67,3.33,8.89,1.67,0,7.965,0,0,67752.0833333333,36.7583333333333,2.1,2.20916666666667,0,7.08333333333333,45.1666666666667,14.875,24.125,206.916666666667,139.375,0.0166666666666667,89.75,9.875,1011.41666666667,61.2083333333333,7.125,45.1666666666667,5.625,42.1666666666667,3.58333333333333,38.4166666666667,25.4166666666667,40.9166666666667,3.58333333333333,38.4166666666667,37.4525,30.6291666666667,23.81,23.1270833333333,22.70875,26.92,36.0145833333333,36.2733333333333,31.2604166666667,26.0175,21.6383333333333,17.7983333333333,24.23625,33.5591666666667,-1.17916666666667,0.63125,2.2075,-1.48875,-4.91041666666667,-2.68375,-2.45541666666667
"5",2015-01-14,38.7354166666667,0.1,9.44,5,4.44,6.67,-2.22,0,6.29666666666667,0,0,68229.1666666667,39.0891666666667,2.1,-0.35375,0,6.04166666666667,42.9583333333333,15.4166666666667,24.8333333333333,217.75,177.125,0.0541666666666667,82.5,10,1013.66666666667,66.0833333333333,6.08333333333333,43,3.16666666666667,37.8333333333333,2,35.625,25.3333333333333,40.7083333333333,2,35.625,38.9675,38.83875,37.4525,30.6291666666667,23.81,23.1270833333333,22.70875,36.7583333333333,36.78125,36.2733333333333,31.2604166666667,26.0175,21.6383333333333,17.7983333333333,-2.20916666666667,-2.0575,-1.17916666666667,0.63125,2.2075,-1.48875,-4.91041666666667
"6",2015-01-15,40.8108333333333,0.06,11.11,6.67,4.44,9.44,2.77,0,8.33333333333333,0,0,66716.6666666667,36.8504166666667,2.1,3.96041666666667,0.0416666666666667,8.45833333333333,47.25,21.9166666666667,35.1666666666667,211.541666666667,183.5,0.0791666666666667,82.6666666666667,8.75,1003.41666666667,99.5,8.5,47.2916666666667,5.83333333333333,42.2916666666667,4.45833333333333,40,34.0833333333333,54.9583333333333,4.45833333333333,40,38.7354166666667,37.7954166666667,38.9675,38.83875,37.4525,30.6291666666667,23.81,39.0891666666667,37.0683333333333,36.7583333333333,36.78125,36.2733333333333,31.2604166666667,26.0175,0.35375,-0.727083333333333,-2.20916666666667,-2.0575,-1.17916666666667,0.63125,2.2075
"7",2015-01-16,40.2804166666667,0.08,7.22,5.56,1.66,6.11,-3.33,0,6.02,0,0,67364.5833333333,42.1166666666667,2.1,-1.83625,0,5.75,42.375,6.125,9.91666666666667,211.083333333333,140.375,0.05,84.4583333333333,9.75,1007.625,60.0833333333333,6.25,43.25,3.79166666666667,38.875,4.375,39.7916666666667,9,14.7083333333333,4.375,39.7916666666667,40.8108333333333,39.4508333333333,38.7354166666667,37.7954166666667,38.9675,38.83875,37.4525,36.8504166666667,38.24,39.0891666666667,37.0683333333333,36.7583333333333,36.78125,36.2733333333333,-3.96041666666667,-1.21083333333333,0.35375,-0.727083333333333,-2.20916666666667,-2.0575,-1.17916666666667
"8",2015-01-17,37.2683333333333,0,5,0,5,2.22,-3.89,0,1.57333333333333,1,0,64516.6666666667,36.98625,2.1,0.282083333333333,0,2.45833333333333,36.375,6.33333333333333,10.2916666666667,248.208333333333,114.75,0,84.125,10,1016.83333333333,28.7916666666667,3.54166666666667,38.3333333333333,1.08333333333333,33.9166666666667,1,33.7916666666667,10.3333333333333,16.6666666666667,1,33.7916666666667,40.2804166666667,41.0475,40.8108333333333,39.4508333333333,38.7354166666667,37.7954166666667,38.9675,42.1166666666667,39.6158333333333,36.8504166666667,38.24,39.0891666666667,37.0683333333333,36.7583333333333,1.83625,-1.43166666666667,-3.96041666666667,-1.21083333333333,0.35375,-0.727083333333333,-2.20916666666667
"9",2015-01-18,34.9258333333333,0,6.67,0.56,6.11,2.78,0.56,0,2.31833333333333,1,0,64287.5,36.7929166666667,2.1,-1.86708333333333,0,2.20833333333333,35.75,10.0416666666667,16.375,174.875,119.375,0,81.4166666666667,10,1013.08333333333,78.75,2.29166666666667,36.0416666666667,-0.75,30.625,-1.70833333333333,28.9166666666667,16.4166666666667,26.375,-1.70833333333333,28.9166666666667,37.2683333333333,39.7066666666667,40.2804166666667,41.0475,40.8108333333333,39.4508333333333,38.7354166666667,36.98625,40.5079166666667,42.1166666666667,39.6158333333333,36.8504166666667,38.24,39.0891666666667,-0.282083333333333,0.80125,1.83625,-1.43166666666667,-3.96041666666667,-1.21083333333333,0.35375
"10",2015-01-19,49.8470833333333,0.02,2.78,0.56,2.22,2.22,-0.56,0,1.48333333333333,0,0,74629.1666666667,46.2416666666667,2.1,3.60541666666667,0,0.916666666666667,33.625,5.04166666666667,8.04166666666667,120.125,147.375,0.00833333333333333,85.3333333333333,8.66666666666667,1012.41666666667,71.4583333333333,1.41666666666667,34.5,-0.875,30.3333333333333,-0.958333333333333,30.375,7.5,12.0416666666667,-0.958333333333333,30.375,34.9258333333333,34.5525,37.2683333333333,39.7066666666667,40.2804166666667,41.0475,40.8108333333333,36.7929166666667,35.4933333333333,36.98625,40.5079166666667,42.1166666666667,39.6158333333333,36.8504166666667,1.86708333333333,0.940833333333333,-0.282083333333333,0.80125,1.83625,-1.43166666666667,-3.96041666666667
